"name","country_code","year","value"
"India","356","2070","1.051"
"India","356","2075","1.051"
"India","356","2080","1.051"
"India","356","2085","1.051"
"India","356","2090","1.051"
"India","356","2095","1.051"
"Republic of Korea","410","1950","1.063"
"Republic of Korea","410","1955","1.063"
"Republic of Korea","410","1960","1.062"
"Republic of Korea","410","1965","1.062"
"Republic of Korea","410","1970","1.061"
"Republic of Korea","410","1975","1.061"
"Republic of Korea","410","1980","1.074"
"Republic of Korea","410","1985","1.113"
"Republic of Korea","410","1990","1.145"
"Republic of Korea","410","1995","1.107"
"Republic of Korea","410","2000","1.092"
"Republic of Korea","410","2005","1.069"
"Republic of Korea","410","2010","1.058"
"Republic of Korea","410","2015","1.055"
"Republic of Korea","410","2020","1.058"
"Republic of Korea","410","2025","1.06"
"Republic of Korea","410","2030","1.061"
"Republic of Korea","410","2035","1.062"
"Republic of Korea","410","2040","1.062"
"Republic of Korea","410","2045","1.062"
"Republic of Korea","410","2050","1.062"
"Republic of Korea","410","2055","1.062"
"Republic of Korea","410","2060","1.062"
"Republic of Korea","410","2065","1.062"
"Republic of Korea","410","2070","1.062"
"Republic of Korea","410","2075","1.062"
"Republic of Korea","410","2080","1.062"
"Republic of Korea","410","2085","1.062"
"Republic of Korea","410","2090","1.062"
"Republic of Korea","410","2095","1.062"
"Montenegro","499","1950","1.056"
"Montenegro","499","1955","1.056"
"Montenegro","499","1960","1.055"
"Montenegro","499","1965","1.055"
"Montenegro","499","1970","1.055"
"Montenegro","499","1975","1.055"
"Montenegro","499","1980","1.06"
"Montenegro","499","1985","1.075"
"Montenegro","499","1990","1.09"
"Montenegro","499","1995","1.096"
"Montenegro","499","2000","1.097"
"Montenegro","499","2005","1.097"
"Montenegro","499","2010","1.088"
"Montenegro","499","2015","1.08"
"Montenegro","499","2020","1.071"
"Montenegro","499","2025","1.063"
"Montenegro","499","2030","1.059"
"Montenegro","499","2035","1.057"
"Montenegro","499","2040","1.057"
"Montenegro","499","2045","1.056"
"Montenegro","499","2050","1.056"
"Montenegro","499","2055","1.056"
"Montenegro","499","2060","1.056"
"Montenegro","499","2065","1.056"
"Montenegro","499","2070","1.056"
"Montenegro","499","2075","1.056"
"Montenegro","499","2080","1.056"
"Montenegro","499","2085","1.056"
"Montenegro","499","2090","1.056"
"Montenegro","499","2095","1.056"
"Taiwan, Province of China","158","1950","1.054"
"Taiwan, Province of China","158","1955","1.057"
"Taiwan, Province of China","158","1960","1.064"
"Taiwan, Province of China","158","1965","1.065"
"Taiwan, Province of China","158","1970","1.064"
"Taiwan, Province of China","158","1975","1.067"
"Taiwan, Province of China","158","1980","1.069"
"Taiwan, Province of China","158","1985","1.08"
"Taiwan, Province of China","158","1990","1.094"
"Taiwan, Province of China","158","1995","1.088"
"Taiwan, Province of China","158","2000","1.097"
"Taiwan, Province of China","158","2005","1.094"
"Taiwan, Province of China","158","2010","1.079"
"Taiwan, Province of China","158","2015","1.076"
"Taiwan, Province of China","158","2020","1.069"
"Taiwan, Province of China","158","2025","1.065"
"Taiwan, Province of China","158","2030","1.063"
"Taiwan, Province of China","158","2035","1.062"
"Taiwan, Province of China","158","2040","1.062"
"Taiwan, Province of China","158","2045","1.062"
"Taiwan, Province of China","158","2050","1.062"
"Taiwan, Province of China","158","2055","1.062"
"Taiwan, Province of China","158","2060","1.062"
"Taiwan, Province of China","158","2065","1.062"
"Taiwan, Province of China","158","2070","1.062"
"Taiwan, Province of China","158","2075","1.062"
"Taiwan, Province of China","158","2080","1.062"
"Taiwan, Province of China","158","2085","1.062"
"Taiwan, Province of China","158","2090","1.062"
"Taiwan, Province of China","158","2095","1.062"
"Tunisia","788","1950","1.047"
"Tunisia","788","1955","1.047"
"Tunisia","788","1960","1.047"
"Tunisia","788","1965","1.047"
"Tunisia","788","1970","1.053"
"Tunisia","788","1975","1.057"
"Tunisia","788","1980","1.057"
"Tunisia","788","1985","1.067"
"Tunisia","788","1990","1.078"
"Tunisia","788","1995","1.078"
"Tunisia","788","2000","1.083"
"Tunisia","788","2005","1.08"
"Tunisia","788","2010","1.068"
"Tunisia","788","2015","1.058"
"Tunisia","788","2020","1.052"
"Tunisia","788","2025","1.048"
"Tunisia","788","2030","1.047"
"Tunisia","788","2035","1.046"
"Tunisia","788","2040","1.046"
"Tunisia","788","2045","1.046"
"Tunisia","788","2050","1.046"
"Tunisia","788","2055","1.046"
"Tunisia","788","2060","1.046"
"Tunisia","788","2065","1.046"
"Tunisia","788","2070","1.046"
"Tunisia","788","2075","1.046"
"Tunisia","788","2080","1.046"
"Tunisia","788","2085","1.046"
"Tunisia","788","2090","1.046"
"Tunisia","788","2095","1.046"
"Viet Nam","704","1950","1.064"
"Viet Nam","704","1955","1.064"
"Viet Nam","704","1960","1.064"
"Viet Nam","704","1965","1.064"
"Viet Nam","704","1970","1.064"
"Viet Nam","704","1975","1.064"
"Viet Nam","704","1980","1.064"
"Viet Nam","704","1985","1.064"
"Viet Nam","704","1990","1.063"
"Viet Nam","704","1995","1.065"
"Viet Nam","704","2000","1.078"
"Viet Nam","704","2005","1.109"
"Viet Nam","704","2010","1.122"
"Viet Nam","704","2015","1.121"
"Viet Nam","704","2020","1.111"
"Viet Nam","704","2025","1.098"
"Viet Nam","704","2030","1.085"
"Viet Nam","704","2035","1.075"
"Viet Nam","704","2040","1.07"
"Viet Nam","704","2045","1.067"
"Viet Nam","704","2050","1.065"
"Viet Nam","704","2055","1.064"
"Viet Nam","704","2060","1.064"
"Viet Nam","704","2065","1.064"
"Viet Nam","704","2070","1.064"
"Viet Nam","704","2075","1.064"
"Viet Nam","704","2080","1.064"
"Viet Nam","704","2085","1.064"
"Viet Nam","704","2090","1.064"
"Viet Nam","704","2095","1.064"
